date,homeTeam,awayTeam,pred_year,pred_home_win_prob,pred_home_win_pct
3/28/2025,ARI,ATL,2025,0.604271313,60.42713129
3/29/2025,ARI,ATL,2025,0.604271313,60.42713129
3/30/2025,ARI,ATL,2025,0.604271313,60.42713129
3/31/2025,ARI,BAL,2025,0.377191735,37.7191735
4/1/2025,ARI,BAL,2025,0.377191735,37.7191735
4/2/2025,ARI,BAL,2025,0.377191735,37.7191735
4/3/2025,ARI,BOS,2025,0.399418651,39.94186511
4/4/2025,ARI,BOS,2025,0.399418651,39.94186511
4/5/2025,ARI,BOS,2025,0.399418651,39.94186511
4/6/2025,ARI,CHA,2025,0.718552916,71.85529155
4/7/2025,ARI,CHA,2025,0.718552916,71.85529155
4/8/2025,ARI,CHA,2025,0.718552916,71.85529155
4/9/2025,ARI,CHN,2025,0.630492533,63.04925331
4/10/2025,ARI,CHN,2025,0.630492533,63.04925331
4/11/2025,ARI,CHN,2025,0.630492533,63.04925331
4/12/2025,ARI,CIN,2025,0.416122164,41.61221644
4/13/2025,ARI,CIN,2025,0.416122164,41.61221644
4/14/2025,ARI,CIN,2025,0.416122164,41.61221644
4/15/2025,ARI,CLE,2025,0.416895934,41.68959339
4/16/2025,ARI,CLE,2025,0.416895934,41.68959339
4/17/2025,ARI,CLE,2025,0.416895934,41.68959339
4/18/2025,ARI,COL,2025,0.57804832,57.80483202
4/19/2025,ARI,COL,2025,0.57804832,57.80483202
4/20/2025,ARI,COL,2025,0.57804832,57.80483202
4/21/2025,ARI,DET,2025,0.43296037,43.29603704
4/22/2025,ARI,DET,2025,0.43296037,43.29603704
4/23/2025,ARI,DET,2025,0.43296037,43.29603704
4/24/2025,ARI,HOU,2025,0.397549083,39.75490827
4/25/2025,ARI,HOU,2025,0.397549083,39.75490827
4/26/2025,ARI,HOU,2025,0.397549083,39.75490827
4/27/2025,ARI,KCA,2025,0.447218877,44.72188765
4/28/2025,ARI,KCA,2025,0.447218877,44.72188765
4/29/2025,ARI,KCA,2025,0.447218877,44.72188765
4/30/2025,ARI,LAA,2025,0.595840203,59.58402026
5/1/2025,ARI,LAA,2025,0.595840203,59.58402026
5/2/2025,ARI,LAA,2025,0.595840203,59.58402026
5/3/2025,ARI,LAN,2025,0.54606429,54.60642896
5/4/2025,ARI,LAN,2025,0.54606429,54.60642896
5/5/2025,ARI,LAN,2025,0.54606429,54.60642896
